time_start,title,h5_url,umm_id
2026-01-04T13:00:40.000Z,NISAR_L3_PR_SME2_009_106_A_020_4005_DHDH_A_20260104T130040_20260104T130115_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_009_106_A_020_4005_DHDH_A_20260104T130040_20260104T130115_X05010_N_F_J_001/NISAR_L3_PR_SME2_009_106_A_020_4005_DHDH_A_20260104T130040_20260104T130115_X05010_N_F_J_001.h5,G4058667006-ASF
2026-01-04T13:01:14.000Z,NISAR_L3_PR_SME2_009_106_A_021_4005_DHDH_A_20260104T130114_20260104T130149_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_009_106_A_021_4005_DHDH_A_20260104T130114_20260104T130149_X05010_N_F_J_001/NISAR_L3_PR_SME2_009_106_A_021_4005_DHDH_A_20260104T130114_20260104T130149_X05010_N_F_J_001.h5,G4058667101-ASF
2026-01-06T13:16:44.000Z,NISAR_L3_PR_SME2_009_135_A_019_4005_DHDH_A_20260106T131644_20260106T131720_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_009_135_A_019_4005_DHDH_A_20260106T131644_20260106T131720_X05010_N_F_J_001/NISAR_L3_PR_SME2_009_135_A_019_4005_DHDH_A_20260106T131644_20260106T131720_X05010_N_F_J_001.h5,G4058661847-ASF
2026-01-08T02:23:58.000Z,NISAR_L3_PR_SME2_009_157_D_071_4005_DHDH_A_20260108T022358_20260108T022433_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_009_157_D_071_4005_DHDH_A_20260108T022358_20260108T022433_X05010_N_F_J_001/NISAR_L3_PR_SME2_009_157_D_071_4005_DHDH_A_20260108T022358_20260108T022433_X05010_N_F_J_001.h5,G4058653557-ASF
2026-01-08T02:24:32.000Z,NISAR_L3_PR_SME2_009_157_D_072_4005_DHDH_A_20260108T022432_20260108T022506_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_009_157_D_072_4005_DHDH_A_20260108T022432_20260108T022506_X05010_N_F_J_001/NISAR_L3_PR_SME2_009_157_D_072_4005_DHDH_A_20260108T022432_20260108T022506_X05010_N_F_J_001.h5,G4058694040-ASF
2026-01-09T12:51:14.000Z,NISAR_L3_PR_SME2_010_005_A_018_4005_DHDH_A_20260109T125114_20260109T125149_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_005_A_018_4005_DHDH_A_20260109T125114_20260109T125149_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_005_A_018_4005_DHDH_A_20260109T125114_20260109T125149_X05010_N_F_J_001.h5,G4059031235-ASF
2026-01-11T13:07:53.000Z,NISAR_L3_PR_SME2_010_034_A_018_4005_DHDH_A_20260111T130753_20260111T130828_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_034_A_018_4005_DHDH_A_20260111T130753_20260111T130828_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_034_A_018_4005_DHDH_A_20260111T130753_20260111T130828_X05010_N_F_J_001.h5,G4059033982-ASF
2026-01-11T13:08:27.000Z,NISAR_L3_PR_SME2_010_034_A_019_4005_DHDH_A_20260111T130827_20260111T130902_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_034_A_019_4005_DHDH_A_20260111T130827_20260111T130902_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_034_A_019_4005_DHDH_A_20260111T130827_20260111T130902_X05010_N_F_J_001.h5,G4059034983-ASF
2026-01-11T13:09:01.000Z,NISAR_L3_PR_SME2_010_034_A_020_4005_DHDH_A_20260111T130901_20260111T130935_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_034_A_020_4005_DHDH_A_20260111T130901_20260111T130935_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_034_A_020_4005_DHDH_A_20260111T130901_20260111T130935_X05010_N_F_J_001.h5,G4059034900-ASF
2026-01-11T13:09:34.000Z,NISAR_L3_PR_SME2_010_034_A_021_4005_DHDH_A_20260111T130934_20260111T131009_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_034_A_021_4005_DHDH_A_20260111T130934_20260111T131009_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_034_A_021_4005_DHDH_A_20260111T130934_20260111T131009_X05010_N_F_J_001.h5,G4059035019-ASF
2026-01-12T02:56:09.000Z,NISAR_L3_PR_SME2_010_042_D_069_4005_DHDH_A_20260112T025609_20260112T025644_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_042_D_069_4005_DHDH_A_20260112T025609_20260112T025644_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_042_D_069_4005_DHDH_A_20260112T025609_20260112T025644_X05010_N_F_J_001.h5,G4059032796-ASF
2026-01-12T02:57:16.000Z,NISAR_L3_PR_SME2_010_042_D_071_4005_DHDH_A_20260112T025716_20260112T025733_X05010_N_P_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_042_D_071_4005_DHDH_A_20260112T025716_20260112T025733_X05010_N_P_J_001/NISAR_L3_PR_SME2_010_042_D_071_4005_DHDH_A_20260112T025716_20260112T025733_X05010_N_P_J_001.h5,G4059033905-ASF
2026-01-15T02:31:44.000Z,NISAR_L3_PR_SME2_010_085_D_070_4005_DHDH_A_20260115T023144_20260115T023219_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_085_D_070_4005_DHDH_A_20260115T023144_20260115T023219_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_085_D_070_4005_DHDH_A_20260115T023144_20260115T023219_X05010_N_F_J_001.h5,G4059033204-ASF
2026-01-15T02:32:18.000Z,NISAR_L3_PR_SME2_010_085_D_071_4005_DHDH_A_20260115T023218_20260115T023256_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_085_D_071_4005_DHDH_A_20260115T023218_20260115T023256_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_085_D_071_4005_DHDH_A_20260115T023218_20260115T023256_X05010_N_F_J_001.h5,G4059032499-ASF
2026-01-15T02:32:52.000Z,NISAR_L3_PR_SME2_010_085_D_072_4005_DHDH_A_20260115T023252_20260115T023327_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_085_D_072_4005_DHDH_A_20260115T023252_20260115T023327_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_085_D_072_4005_DHDH_A_20260115T023252_20260115T023327_X05010_N_F_J_001.h5,G4059033073-ASF
2026-01-17T02:47:49.000Z,NISAR_L3_PR_SME2_010_114_D_069_4005_DHDH_A_20260117T024749_20260117T024824_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_114_D_069_4005_DHDH_A_20260117T024749_20260117T024824_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_114_D_069_4005_DHDH_A_20260117T024749_20260117T024824_X05010_N_F_J_001.h5,G4059043485-ASF
2026-01-17T02:48:23.000Z,NISAR_L3_PR_SME2_010_114_D_070_4005_DHDH_A_20260117T024823_20260117T024858_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_114_D_070_4005_DHDH_A_20260117T024823_20260117T024858_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_114_D_070_4005_DHDH_A_20260117T024823_20260117T024858_X05010_N_F_J_001.h5,G4059043509-ASF
2026-01-17T02:48:57.000Z,NISAR_L3_PR_SME2_010_114_D_071_4005_DHDH_A_20260117T024857_20260117T024932_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_114_D_071_4005_DHDH_A_20260117T024857_20260117T024932_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_114_D_071_4005_DHDH_A_20260117T024857_20260117T024932_X05010_N_F_J_001.h5,G4059043378-ASF
2026-01-20T02:23:59.000Z,NISAR_L3_PR_SME2_010_157_D_071_4005_DHDH_A_20260120T022359_20260120T022433_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_157_D_071_4005_DHDH_A_20260120T022359_20260120T022433_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_157_D_071_4005_DHDH_A_20260120T022359_20260120T022433_X05010_N_F_J_001.h5,G4059047398-ASF
2026-01-20T02:24:32.000Z,NISAR_L3_PR_SME2_010_157_D_072_4005_DHDH_A_20260120T022432_20260120T022507_X05010_N_F_J_001,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L3_SME2_BETA_V1/NISAR_L3_PR_SME2_010_157_D_072_4005_DHDH_A_20260120T022432_20260120T022507_X05010_N_F_J_001/NISAR_L3_PR_SME2_010_157_D_072_4005_DHDH_A_20260120T022432_20260120T022507_X05010_N_F_J_001.h5,G4059040259-ASF
